NRC,Materia,Días,Hora_ini ,Hora_fin,Profesor,Salón
40483,Administracion de Proyectos,A,09:00 a. m.,10:59 a. m.,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306
40483,Administracion de Proyectos,V,09:00 a. m.,10:59 a. m.,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306
40483,Administracion de Proyectos,L,09:00 a. m.,11:59 a. m.,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306
40483,Administracion de Proyectos,M,09:00 a. m.,11:59 a. m.,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306
40483,Administracion de Proyectos,J,09:00 a. m.,11:59 a. m.,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306
40491,Administracion de Proyectos,A,12:00 p. m.,01:59 p. m.,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306
40491,Administracion de Proyectos,J,12:00 p. m.,01:59 p. m.,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306
40491,Administracion de Proyectos,L,12:00 p. m.,02:59 p. m.,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306
40491,Administracion de Proyectos,M,12:00 p. m.,02:59 p. m.,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306
40491,Administracion de Proyectos,V,12:00 p. m.,02:59 p. m.,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306
40984,Analisis Instrumental,L,09:00 a. m.,12:59 p. m.,AGUILA - ALMANZA EVA,1FIQ5/302
40984,Analisis Instrumental,A,09:00 a. m.,11:59 a. m.,AGUILA - ALMANZA EVA,1FIQ4/301
40984,Analisis Instrumental,V,09:00 a. m.,11:59 a. m.,AGUILA - ALMANZA EVA,1FIQ4/301
40984,Analisis Instrumental,M,09:00 a. m.,11:59 a. m.,AGUILA - ALMANZA EVA,1FIQ1/204
40984,Analisis Instrumental,J,09:00 a. m.,11:59 a. m.,AGUILA - ALMANZA EVA,1FIQ1/204
40625,Analisis Numerico y Programaci,V,09:00 a. m.,12:59 p. m.,ISLAS - MORALES JOSE MANUEL,1FIQ1/205
40625,Analisis Numerico y Programaci,L,09:00 a. m.,11:59 a. m.,ISLAS - MORALES JOSE MANUEL,1FIQ1/205
40625,Analisis Numerico y Programaci,A,09:00 a. m.,11:59 a. m.,ISLAS - MORALES JOSE MANUEL,1FIQ1/205
40625,Analisis Numerico y Programaci,M,09:00 a. m.,11:59 a. m.,ISLAS - MORALES JOSE MANUEL,1FIQ4/202
40625,Analisis Numerico y Programaci,J,09:00 a. m.,11:59 a. m.,ISLAS - MORALES JOSE MANUEL,1FIQ4/202
40663,Auditoria e Impacto Ambiental,A,12:00 p. m.,01:59 p. m.,"VELASCO - HERNANDEZ MARIA DE LOS
ANGELES",1FIQ2/203
40663,Auditoria e Impacto Ambiental,J,12:00 p. m.,01:59 p. m.,"VELASCO - HERNANDEZ MARIA DE LOS
ANGELES",1FIQ2/203
40663,Auditoria e Impacto Ambiental,L,12:00 p. m.,02:59 p. m.,"VELASCO - HERNANDEZ MARIA DE LOS
ANGELES",1FIQ2/203
40663,Auditoria e Impacto Ambiental,M,12:00 p. m.,02:59 p. m.,"VELASCO - HERNANDEZ MARIA DE LOS
ANGELES",1FIQ2/203
40663,Auditoria e Impacto Ambiental,V,12:00 p. m.,02:59 p. m.,"VELASCO - HERNANDEZ MARIA DE LOS
ANGELES",1FIQ2/203
44864,Balance de Materia y Energia,L,11:00 a. m.,01:59 p. m.,CABRERA - PELAEZ JOSE MANUEL,12EMA6/205
44864,Balance de Materia y Energia,J,11:00 a. m.,12:59 p. m.,CABRERA - PELAEZ JOSE MANUEL,12EMA7/106
44864,Balance de Materia y Energia,V,11:00 a. m.,12:59 p. m.,CABRERA - PELAEZ JOSE MANUEL,12EMA7/106
44864,Balance de Materia y Energia,A,11:00 a. m.,01:59 p. m.,CABRERA - PELAEZ JOSE MANUEL,12EMA2/203A
