NRC,Materia,Dias,Hora_ini,Hora_fin,Profesor,Salón
40483,Administracion de Proyectos,A,9:00:00,10:59:00,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306
40483,Administracion de Proyectos,V,9:00:00,10:59:00,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306
40483,Administracion de Proyectos,L,9:00:00,11:59:00,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306
40483,Administracion de Proyectos,M,9:00:00,11:59:00,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306
40483,Administracion de Proyectos,J,9:00:00,11:59:00,SILVA - AMBRIZ LINDA LAURA,1FIQ1/306
40491,Administracion de Proyectos,A,12:00:00,13:59:00,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306
40491,Administracion de Proyectos,J,12:00:00,13:59:00,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306
40491,Administracion de Proyectos,L,12:00:00,14:59:00,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306
40491,Administracion de Proyectos,M,12:00:00,14:59:00,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306
40491,Administracion de Proyectos,V,12:00:00,14:59:00,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/306
40492,Admon.de los Procesos Quimicos,A,12:00:00,13:59:00,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/305
40492,Admon.de los Procesos Quimicos,V,12:00:00,13:59:00,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/305
40492,Admon.de los Procesos Quimicos,L,12:00:00,14:59:00,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/305
40492,Admon.de los Procesos Quimicos,M,12:00:00,14:59:00,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/305
40492,Admon.de los Procesos Quimicos,J,12:00:00,14:59:00,"ROMANO - RODRIGUEZ MARIA
MARGARITA VICTORIA",1FIQ1/305
40984,Analisis Instrumental,L,9:00:00,12:59:00,AGUILA - ALMANZA EVA,1FIQ5/302
40984,Analisis Instrumental,A,9:00:00,11:59:00,AGUILA - ALMANZA EVA,1FIQ4/301
40984,Analisis Instrumental,V,9:00:00,11:59:00,AGUILA - ALMANZA EVA,1FIQ4/301
40984,Analisis Instrumental,M,9:00:00,11:59:00,AGUILA - ALMANZA EVA,1FIQ1/204
40984,Analisis Instrumental,J,9:00:00,11:59:00,AGUILA - ALMANZA EVA,1FIQ1/204
40625,Analisis Numerico y Programaci,V,9:00:00,12:59:00,ISLAS - MORALES JOSE MANUEL,1FIQ1/205
40625,Analisis Numerico y Programaci,L,9:00:00,11:59:00,ISLAS - MORALES JOSE MANUEL,1FIQ1/205
40625,Analisis Numerico y Programaci,A,9:00:00,11:59:00,ISLAS - MORALES JOSE MANUEL,1FIQ1/205
40625,Analisis Numerico y Programaci,M,9:00:00,11:59:00,ISLAS - MORALES JOSE MANUEL,1FIQ4/202
40625,Analisis Numerico y Programaci,J,9:00:00,11:59:00,ISLAS - MORALES JOSE MANUEL,1FIQ4/202
44864,Balance de Materia y Energia,L,11:00:00,13:59:00,CABRERA - PELAEZ JOSE MANUEL,12EMA6/205
44864,Balance de Materia y Energia,J,11:00:00,12:59:00,CABRERA - PELAEZ JOSE MANUEL,12EMA7/106
44864,Balance de Materia y Energia,V,11:00:00,12:59:00,CABRERA - PELAEZ JOSE MANUEL,12EMA7/106
44864,Balance de Materia y Energia,A,11:00:00,13:59:00,CABRERA - PELAEZ JOSE MANUEL,12EMA2/203A
44864,Balance de Materia y Energia,M,11:00:00,13:59:00,CABRERA - PELAEZ JOSE MANUEL,12EMA2/203A
40494,Biotecnologia,V,15:00:00,15:59:00,"ROMERO - TORRES LAURA
MARGARITA",1FIQ1/306
40494,Biotecnologia,L,15:00:00,16:59:00,"ROMERO - TORRES LAURA
MARGARITA",1FIQ1/306
40494,Biotecnologia,A,15:00:00,16:59:00,"ROMERO - TORRES LAURA
MARGARITA",1FIQ1/306
40494,Biotecnologia,M,15:00:00,16:59:00,"ROMERO - TORRES LAURA
MARGARITA",1FIQ1/306
40494,Biotecnologia,J,15:00:00,16:59:00,"ROMERO - TORRES LAURA
MARGARITA",1FIQ1/306
40620,Calculo III,A,14:00:00,15:59:00,TEPALE - OCHOA NANCY,1FIQ7/206
40620,Calculo III,J,14:00:00,15:59:00,TEPALE - OCHOA NANCY,1FIQ7/206
40620,Calculo III,L,14:00:00,16:59:00,TEPALE - OCHOA NANCY,1FIQ7/206
40620,Calculo III,M,14:00:00,16:59:00,TEPALE - OCHOA NANCY,1FIQ7/206
40620,Calculo III,V,14:00:00,16:59:00,TEPALE - OCHOA NANCY,1FIQ7/206
40546,Catalisis y React. Heterogeneos,V,13:00:00,16:59:00,ORTIZ - MUÑOZ ESIQUIO,1FIQ1/206
40546,Catalisis y React. Heterogeneos,L,13:00:00,15:59:00,ORTIZ - MUÑOZ ESIQUIO,1FIQ1/206
40546,Catalisis y React. Heterogeneos,A,13:00:00,15:59:00,ORTIZ - MUÑOZ ESIQUIO,1FIQ1/206
40546,Catalisis y React. Heterogeneos,M,13:00:00,15:59:00,ORTIZ - MUÑOZ ESIQUIO,1FIQ1/206
40546,Catalisis y React. Heterogeneos,J,13:00:00,15:59:00,ORTIZ - MUÑOZ ESIQUIO,1FIQ1/206
40591,Catalisis y React. Heterogeneos,V,8:00:00,11:59:00,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/101
40591,Catalisis y React. Heterogeneos,L,8:00:00,10:59:00,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/101
40591,Catalisis y React. Heterogeneos,A,8:00:00,10:59:00,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/101
40591,Catalisis y React. Heterogeneos,M,8:00:00,10:59:00,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/101
40591,Catalisis y React. Heterogeneos,J,8:00:00,10:59:00,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/101
40496,Cinetica y Reactores Homogeneos,V,12:00:00,15:59:00,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/304
40496,Cinetica y Reactores Homogeneos,L,12:00:00,14:59:00,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/304
40496,Cinetica y Reactores Homogeneos,A,12:00:00,14:59:00,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/304
40496,Cinetica y Reactores Homogeneos,M,12:00:00,14:59:00,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/304
40496,Cinetica y Reactores Homogeneos,J,12:00:00,14:59:00,CAMARGO - MARTINEZ SEBASTIAN,1FIQ1/304
40497,Dibujo Tecnico,V,8:00:00,8:59:00,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ4/202
40497,Dibujo Tecnico,L,7:00:00,8:59:00,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ4/202
40497,Dibujo Tecnico,A,7:00:00,8:59:00,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ4/202
40497,Dibujo Tecnico,M,7:00:00,8:59:00,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ4/202
40497,Dibujo Tecnico,J,7:00:00,8:59:00,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ4/202
40606,Dibujo Tecnico,V,10:00:00,10:59:00,FLORES - GARCIA JOSE RAFAEL,1FIQ4/201
40606,Dibujo Tecnico,L,10:00:00,11:59:00,FLORES - GARCIA JOSE RAFAEL,1FIQ4/201
40606,Dibujo Tecnico,A,10:00:00,11:59:00,FLORES - GARCIA JOSE RAFAEL,1FIQ4/201
40606,Dibujo Tecnico,M,10:00:00,11:59:00,FLORES - GARCIA JOSE RAFAEL,1FIQ4/201
40606,Dibujo Tecnico,J,10:00:00,11:59:00,FLORES - GARCIA JOSE RAFAEL,1FIQ4/201
40498,Dis. de Procesos y Productos Qu,V,12:00:00,15:59:00,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ4/202
40498,Dis. de Procesos y Productos Qu,L,12:00:00,14:59:00,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ7/201
40498,Dis. de Procesos y Productos Qu,A,12:00:00,14:59:00,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ7/201
40498,Dis. de Procesos y Productos Qu,M,12:00:00,14:59:00,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ4/202
40498,Dis. de Procesos y Productos Qu,J,12:00:00,14:59:00,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ4/202
40504,Dis. de Procesos y Productos Qu,L,10:00:00,12:59:00,"PACHECO - AGUIRRE FRANCISCO
MANUEL",1FIQ1/102
40504,Dis. de Procesos y Productos Qu,V,10:00:00,13:59:00,"PACHECO - AGUIRRE FRANCISCO
MANUEL",1FIQ5/210
40504,Dis. de Procesos y Productos Qu,A,10:00:00,12:59:00,"PACHECO - AGUIRRE FRANCISCO
MANUEL",1FIQ5/210
40504,Dis. de Procesos y Productos Qu,M,10:00:00,12:59:00,"PACHECO - AGUIRRE FRANCISCO
MANUEL",1FIQ5/210
40504,Dis. de Procesos y Productos Qu,J,10:00:00,12:59:00,"PACHECO - AGUIRRE FRANCISCO
MANUEL",1FIQ5/210
40532,Dis. Mecanico de Equipo de Proc,A,15:00:00,16:59:00,FLORES - GARCIA JOSE RAFAEL,1FIQ1/303
40532,Dis. Mecanico de Equipo de Proc,J,15:00:00,16:59:00,FLORES - GARCIA JOSE RAFAEL,1FIQ1/303
40532,Dis. Mecanico de Equipo de Proc,L,15:00:00,17:59:00,FLORES - GARCIA JOSE RAFAEL,1FIQ1/303
40532,Dis. Mecanico de Equipo de Proc,M,15:00:00,17:59:00,FLORES - GARCIA JOSE RAFAEL,1FIQ1/303
40532,Dis. Mecanico de Equipo de Proc,V,15:00:00,17:59:00,FLORES - GARCIA JOSE RAFAEL,1FIQ1/303
40545,Dise. Intercambiadores de Calor,J,15:00:00,16:59:00,CABRERA - PELAEZ JOSE MANUEL,1FIQ1/302
40545,Dise. Intercambiadores de Calor,V,15:00:00,16:59:00,CABRERA - PELAEZ JOSE MANUEL,1FIQ1/302
40545,Dise. Intercambiadores de Calor,L,15:00:00,17:59:00,CABRERA - PELAEZ JOSE MANUEL,1FIQ1/302
40545,Dise. Intercambiadores de Calor,A,15:00:00,17:59:00,CABRERA - PELAEZ JOSE MANUEL,1FIQ1/302
40545,Dise. Intercambiadores de Calor,M,15:00:00,17:59:00,CABRERA - PELAEZ JOSE MANUEL,1FIQ1/302
40623,Diseno Exp. y Analisis de Datos,M,12:00:00,13:59:00,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ4/201
40623,Diseno Exp. y Analisis de Datos,J,12:00:00,13:59:00,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ4/201
